Velocity Anterior2,Amplitude
9.203036053130928,109692.1640625
9.250474383301707,109555.6796875
9.297912713472485,109232.0078125
9.345351043643262,109091.1015625
9.39278937381404,108642.8203125
9.440227703984819,108082.46875
9.487666034155597,107894.109375
9.535104364326374,107802.4921875
9.582542694497153,107658.4765625
9.62998102466793,107040.640625
9.677419354838708,106530.15625
9.724857685009486,106022.6171875
9.772296015180265,105493.203125
9.819734345351042,105398.0
9.86717267552182,105742.671875
9.9146110056926,105446.5390625
9.962049335863377,104633.7734375
10.009487666034154,104534.6640625
10.056925996204932,103968.8671875
10.10436432637571,103751.8046875
10.151802656546488,103256.9375
10.199240986717266,103306.9375
10.246679316888045,103266.0625
10.294117647058822,102743.0703125
10.3415559772296,102611.734375
10.388994307400377,102006.4765625
10.436432637571157,101798.3203125
10.483870967741934,101664.265625
