Velocity,Amplitude
2.2423652801176948,682627.0625
2.254229646679164,675746.8125
2.2660940132406333,670089.625
2.2779583798021026,663239.75
2.289822746363572,658335.8125
2.301687112925041,652398.5
2.3135514794865104,649703.875
2.3254158460479797,645406.4375
2.337280212609449,638975.0
2.3491445791709182,634100.0625
2.3610089457323875,628395.5
2.372873312293857,625857.0625
2.384737678855326,623087.125
2.3966020454167953,621810.4375
2.4084664119782646,620950.5625
2.420330778539734,619798.0625
2.432195145101203,619074.6875
2.4440595116626724,617429.375
2.4559238782241417,618274.0625
2.467788244785611,616179.125
2.4796526113470803,612870.4375
2.4915169779085495,611115.0625
2.503381344470019,608655.25
2.515245711031488,606151.3125
2.5271100775929574,600400.25
2.5389744441544266,595445.1875
2.550838810715896,590397.125
2.562703177277365,585278.3125
2.5745675438388345,582189.25
